AÑO;PIB;TIPOS;INFLACCION;SP500;GOLD;PETROLEO;GAS;M1
2023;2,5;5,25;3,2;22,45;8,823529412;;;
2022;1,9;4,25;6,6;9,81;13,33333333;;;
2021;5,8;0;6,8;28,47;-6,25;;;
2020;-2,2;0;1,2;18,02;39,13043478;;;
2019;2,5;1,5;2,4;28,88;8,490566038;;;
2018;3;2,25;2;-6,24;-9,787234043;;;
2017;2,5;1,25;2,2;19,42;2,173913043;;;
2016;1,8;0,5;2,1;9,54;6,481481481;;;
2015;2,9;0,25;0,8;-0,73;20;;;
2014;2,5;0;0,6;11,39;-18,18181818;;;
2013;2,1;0;1,4;29,6;-12;;;
2012;2,3;0;1,8;13,4;25;;;
2011;1,6;0;0;0;25;;;
2010;2,7;0;0;12,78;15,94202899;;;
2009;-2,6;0;0;23,45;18,96551724;;;
2008;0,1;1;0;-38,49;16;;;
2007;2;4,25;0;3,53;11,35857461;;;
2006;2,8;5,25;0;13,62;40,3125;;;
2005;3,5;4,25;0;3;0;;;
2004;3,8;2,25;0;8,99;0;;;
2003;2,8;1;0;26,38;-3,03030303;;;
2002;1,7;1,25;0;-23,37;15,78947368;;;
2001;1;1,75;0;-13,04;3,636363636;;;
2000;4,1;6,5;0;-10,14;0;;;
1999;4,8;5,5;0;19,53;0;;;
1998;4,5;4,75;0;26,67;0;;;
1997;4,4;5,5;0;31,01;0;;;
1996;3,8;5,25;0;20,26;0;;;
1995;2,7;5,5;0;34,11;0;;;
1994;4;5,5;0;-1,54;0;;;
1993;2,8;3,25;0;7,06;0;;;
1992;3,5;3;0;4,46;0;;;
1991;-0,1;4;0;26,31;0;;;
1990;1,9;7;0;-6,56;0;;;
